FFMC,DMC,DC,ISI,temperature,humidity,wind,rain
32.8,144.22,165.1,0.16,19.56,99.71,0.75,4.63
51.1,284.91,640.6,1.65,30.34,55.56,7.95,4.66
90.3,114.19,722.2,1.38,39.42,48.1,6.62,5.27
45.2,234.82,463.5,0.37,18.38,84.59,1.78,0.77
83.8,247.5,136.7,1.08,24.69,51.62,5.18,5.91
65.2,244.1,131.0,0.69,15.69,41.92,3.32,1.86
52.1,139.15,153.4,0.75,36.24,49.82,3.59,0.37
81.0,6.08,577.6,0.31,31.98,43.98,1.48,1.34
64.1,175.36,858.3,0.91,24.6,80.37,4.38,3.2
37.5,259.15,714.3,0.47,16.07,76.55,2.24,3.12
30.6,57.23,488.8,1.52,14.97,71.03,7.3,5.2
91.9,283.88,344.8,1.19,22.2,64.41,5.73,3.51
62.7,141.18,414.2,1.56,10.89,59.73,7.48,2.03
78.3,231.48,641.4,1.0,14.21,71.58,4.79,3.73
82.6,172.35,144.8,1.91,18.09,31.78,9.16,2.98
93.3,255.67,257.2,1.33,10.31,43.15,6.38,5.87
27.6,166.23,707.7,0.76,36.12,59.15,3.65,0.73
54.6,55.04,222.6,1.86,34.78,97.23,8.93,2.95
29.5,230.11,844.6,1.83,20.44,83.37,8.82,6.02
34.3,142.05,448.1,0.26,29.11,85.28,1.24,4.2
37.5,271.48,601.4,0.55,25.75,77.52,2.66,2.08
36.5,49.0,630.6,1.63,17.83,97.34,7.84,4.85
27.4,143.98,729.9,0.95,17.4,84.27,4.57,2.24
45.7,73.32,625.3,1.8,28.36,65.82,8.66,5.8
53.9,227.22,811.3,0.95,29.36,67.86,4.57,4.69
37.5,45.08,356.2,0.84,25.73,61.53,4.06,3.8
50.6,122.96,370.6,1.54,24.35,76.29,7.38,0.13
29.7,50.6,492.0,0.9,19.9,30.16,4.35,5.05
31.0,155.21,404.3,0.66,12.24,67.15,3.18,1.31
35.5,130.0,551.2,0.38,37.37,32.33,1.81,3.03
40.6,78.36,845.6,0.35,33.5,67.72,1.68,5.45
95.9,151.98,493.7,0.71,31.9,80.17,3.42,2.63
89.3,125.07,550.7,0.47,31.88,60.83,2.27,5.16
84.8,57.61,651.7,0.96,26.21,76.02,4.62,1.16
75.8,200.15,599.7,1.04,14.4,36.99,5.02,2.63
30.9,116.63,138.7,0.9,19.42,35.67,4.31,2.61
75.6,200.49,767.0,1.31,20.38,94.48,6.28,3.28
45.2,260.82,52.6,0.23,13.13,45.61,1.1,1.97
59.2,26.68,137.4,0.38,12.08,38.68,1.85,5.97
60.5,130.89,81.5,1.74,19.15,74.33,8.36,1.25
82.1,242.02,562.2,0.43,15.14,96.4,2.07,3.12
73.5,54.92,635.0,0.9,19.05,91.25,4.33,6.38
83.9,97.4,362.2,0.6,36.4,79.37,2.9,4.45
39.6,30.16,124.2,0.45,20.94,78.75,2.18,2.23
62.5,174.87,717.2,1.81,17.28,90.47,8.68,0.22
89.8,126.17,460.5,0.98,24.79,99.18,4.71,6.18
47.5,37.09,598.3,1.85,20.85,83.25,8.91,0.73
89.5,170.89,405.5,0.81,39.62,68.04,3.9,5.81
40.8,153.08,636.8,0.62,20.1,65.19,2.98,0.94
63.7,122.92,337.8,1.04,18.86,39.07,5.0,3.34
35.9,248.68,583.7,1.14,19.22,69.61,5.46,0.21
63.4,190.32,225.1,0.19,11.86,37.82,0.92,0.93
42.5,278.04,609.5,0.18,13.52,71.9,0.88,1.25
54.3,91.11,763.5,1.69,28.8,54.19,8.13,1.42
87.7,190.28,495.1,0.84,23.44,52.78,4.06,6.25
28.2,200.17,760.0,0.29,31.81,68.32,1.38,3.9
30.7,153.36,92.7,0.18,22.76,33.42,0.87,3.0
67.7,198.12,449.8,1.09,27.12,52.5,5.26,6.23
89.3,154.41,365.0,1.66,10.58,49.97,7.97,6.25
39.9,163.29,513.0,0.68,23.85,96.29,3.29,3.85
91.0,85.17,817.2,1.82,31.1,75.75,8.74,1.15
45.7,18.08,20.4,0.93,16.18,79.03,4.48,6.1
76.0,266.09,350.9,1.76,29.01,96.26,8.46,6.23
79.6,140.42,91.2,1.86,20.88,97.27,8.92,1.84
40.7,181.28,616.2,1.36,11.33,79.56,6.54,4.6
74.4,108.22,594.2,0.86,33.1,73.79,4.15,0.22
55.4,156.14,14.6,0.89,13.43,98.23,4.27,0.8
71.5,17.2,536.9,0.76,19.98,93.34,3.65,0.71
67.5,35.77,709.0,0.68,20.06,32.26,3.29,6.27
80.6,92.07,845.5,0.77,11.74,63.66,3.69,1.35
29.4,168.73,403.8,1.38,20.13,93.7,6.64,0.92
83.7,258.74,293.8,1.66,18.18,53.88,7.98,2.85
36.7,69.38,194.3,1.35,34.28,52.63,6.49,4.09
41.2,34.5,165.5,0.13,29.92,75.62,0.62,6.34
66.1,181.58,696.1,1.01,35.98,36.75,4.84,5.79
40.0,257.32,626.5,1.23,11.7,68.14,5.92,4.51
48.1,228.62,822.2,1.35,26.01,49.02,6.49,3.62
64.2,126.24,713.4,1.33,19.71,89.94,6.39,4.54
33.7,235.28,817.7,1.08,17.57,65.92,5.19,2.01
24.6,47.16,440.5,1.77,31.87,67.98,8.5,2.9
21.6,48.51,604.4,0.09,23.22,45.83,0.45,1.61
83.1,269.96,390.5,0.77,35.15,45.13,3.71,0.4
65.9,218.04,753.6,1.95,14.31,77.62,9.37,2.37
71.3,217.71,430.6,0.93,15.84,55.13,4.46,2.89
35.9,30.45,162.7,1.08,34.99,89.75,5.18,3.3
31.3,236.37,341.0,0.82,15.24,92.93,3.94,1.23
26.4,91.32,523.2,1.92,14.55,42.78,9.21,1.34
55.0,223.04,135.3,1.75,37.61,45.92,8.39,4.74
27.9,146.68,598.0,1.67,24.26,80.82,8.02,2.05
80.3,5.49,376.5,0.59,21.93,55.47,2.85,1.85
46.4,60.94,608.8,1.8,10.58,33.22,8.64,2.97
55.3,74.96,855.8,0.39,15.18,46.29,1.87,2.55
34.7,101.9,234.7,1.39,15.82,87.4,6.66,4.44
36.4,67.05,375.7,0.14,35.63,73.41,0.69,0.15
74.8,7.54,542.7,1.48,12.51,48.85,7.11,0.21
93.7,182.19,19.9,0.57,21.54,84.88,2.73,5.01
49.8,40.53,67.5,0.12,10.7,76.79,0.57,3.83
81.0,32.17,589.3,1.14,38.51,60.17,5.47,0.24
36.1,272.05,507.4,0.29,37.91,92.47,1.41,5.51
76.9,286.66,736.8,0.77,11.86,43.9,3.68,1.63
25.5,24.07,288.3,1.54,35.7,91.07,7.41,3.95
90.4,87.14,819.3,0.27,38.12,88.98,1.29,2.02
47.3,136.39,361.1,1.28,39.7,81.5,6.14,4.25
32.6,93.99,513.4,0.2,32.09,32.44,0.98,2.51
92.5,241.97,196.9,0.42,27.53,65.29,2.01,0.59
51.9,56.74,679.2,0.75,24.21,35.58,3.6,0.11
88.2,185.03,335.7,0.89,24.13,34.91,4.29,5.15
53.7,195.19,734.2,0.51,25.53,93.07,2.47,0.59
69.9,265.81,584.9,1.29,38.28,89.79,6.21,3.16
85.3,240.77,65.3,0.39,36.02,36.39,1.87,4.36
70.3,200.93,55.1,0.49,28.13,57.13,2.37,6.32
18.8,277.9,184.4,0.21,35.59,83.05,1.03,2.59
26.6,107.48,11.0,0.93,20.81,65.18,4.47,4.88
50.0,147.17,674.4,0.27,20.73,47.77,1.28,5.85
38.6,75.61,174.5,1.87,26.73,91.48,8.97,0.01
85.5,163.77,751.1,1.63,15.33,99.37,7.85,3.42
80.1,145.86,300.9,0.6,25.85,60.48,2.9,2.76
47.1,162.39,555.6,0.71,23.09,93.1,3.42,3.17
70.0,255.99,445.4,1.95,38.7,76.07,9.39,2.6
77.5,138.52,579.3,0.15,16.33,76.29,0.71,2.15
27.7,23.46,569.8,1.39,19.11,55.62,6.7,3.23
83.4,172.49,718.8,0.77,29.36,96.56,3.7,2.02
36.1,88.11,815.6,0.42,39.91,79.52,2.04,4.49
73.4,26.43,494.4,1.42,18.08,69.87,6.83,6.04
91.2,88.43,326.9,0.79,23.16,57.34,3.79,2.39
31.7,282.9,212.5,0.97,39.43,48.38,4.65,5.93
49.2,163.87,379.2,0.66,13.34,34.24,3.15,3.85
69.6,15.09,342.5,0.9,22.2,60.26,4.32,1.7
41.3,111.37,35.0,0.47,17.15,35.52,2.27,0.47
30.5,10.22,34.0,0.57,29.91,44.43,2.75,2.87
88.0,127.06,70.9,0.82,20.93,46.81,3.95,3.49
66.2,105.22,77.9,0.73,39.43,69.21,3.53,4.31
78.8,153.06,43.8,0.16,16.41,67.14,0.76,2.04
29.2,180.4,151.8,1.49,32.97,93.19,7.17,5.36
41.5,134.26,530.4,0.81,35.13,41.4,3.89,0.09
82.3,38.84,705.1,0.92,14.06,84.98,4.4,2.99
75.2,239.02,582.1,1.7,35.89,60.17,8.15,5.51
62.6,42.05,764.8,0.19,17.72,82.59,0.92,5.19
93.8,196.04,256.0,0.59,25.05,79.49,2.82,1.09
55.7,189.24,346.3,1.85,21.01,44.47,8.88,6.18
47.5,229.77,491.6,1.6,34.92,88.84,7.69,2.57
22.4,27.06,23.6,1.82,24.85,80.34,8.73,2.37
37.5,39.58,634.0,1.9,35.44,95.02,9.12,5.27
75.0,206.03,240.7,0.72,33.95,71.13,3.44,5.18
82.1,146.89,275.2,1.43,17.97,64.56,6.88,1.6
82.7,97.65,726.5,0.85,16.8,60.59,4.09,0.82
76.1,172.22,142.8,1.75,34.67,70.26,8.41,3.25
69.4,113.99,592.5,0.71,33.35,46.71,3.39,4.73
93.0,260.06,626.5,0.25,34.46,86.22,1.18,0.55
25.1,27.66,603.3,0.87,36.86,87.76,4.16,2.37
29.7,18.13,148.5,0.11,39.79,33.95,0.54,0.75
60.1,258.12,30.6,0.48,23.26,86.99,2.32,2.87
77.0,278.22,37.2,1.83,37.68,60.28,8.79,3.17
94.0,203.05,149.2,1.66,15.58,85.02,7.97,0.18
92.7,65.43,859.3,0.22,36.65,83.54,1.05,5.26
58.5,66.4,681.6,0.63,32.67,66.0,3.05,1.52
76.7,70.29,182.3,1.76,33.83,77.91,8.48,5.16
79.1,187.44,556.2,0.85,19.3,34.06,4.1,0.59
53.3,53.62,430.3,1.56,14.71,78.76,7.51,0.99
77.8,261.13,44.9,1.42,39.15,38.1,6.85,0.8
39.3,29.84,174.8,1.15,17.26,65.26,5.54,0.08
23.5,141.56,120.7,0.63,29.54,48.59,3.05,1.22
32.7,86.65,461.1,1.49,31.86,56.74,7.18,3.37
81.8,261.97,81.9,0.75,35.55,60.55,3.61,4.72
44.7,135.74,510.1,1.7,14.93,66.66,8.16,2.29
33.3,284.52,104.9,1.71,34.01,42.19,8.21,2.18
47.4,243.82,722.6,1.81,24.72,95.17,8.71,1.15
93.3,2.32,850.6,0.56,21.07,67.42,2.7,5.24
29.4,28.33,512.9,1.61,22.28,65.69,7.73,4.88
59.7,31.18,576.2,1.0,18.65,94.34,4.82,4.42
57.3,86.45,11.8,1.6,25.2,71.08,7.67,1.07
71.7,126.52,162.3,1.65,25.16,54.88,7.95,1.92
44.7,156.41,585.0,0.64,39.7,64.24,3.1,2.19
62.8,91.36,330.9,1.12,35.8,69.73,5.37,2.28
66.3,207.67,254.6,0.99,27.29,45.21,4.78,1.43
37.8,61.88,660.0,1.03,28.07,60.43,4.94,0.11
77.5,161.73,854.2,1.79,37.81,94.21,8.59,5.22
80.5,131.02,786.3,1.68,32.57,55.13,8.07,1.31
73.2,34.63,198.7,0.44,11.98,98.96,2.12,5.59
61.6,64.27,288.0,0.25,32.21,53.33,1.18,0.07
40.8,132.11,705.3,0.73,25.03,77.94,3.53,1.07
26.7,219.3,110.4,0.31,10.7,60.81,1.49,3.51
66.0,63.62,419.8,0.22,29.46,82.45,1.07,4.17
74.6,257.71,775.6,0.29,39.95,98.11,1.39,1.44
89.9,272.72,51.6,1.68,16.41,39.0,8.06,5.8
52.4,250.26,305.4,0.31,13.31,90.14,1.49,3.9
72.6,106.99,28.5,1.7,12.04,33.61,8.17,6.35
35.2,12.16,681.9,1.78,39.57,78.46,8.57,5.02
88.6,4.35,783.5,1.0,26.73,55.21,4.83,3.27
35.0,11.12,858.9,1.57,29.09,72.3,7.57,5.44
87.1,257.16,464.5,0.99,18.68,30.13,4.77,6.17
84.2,138.06,551.8,0.14,10.08,46.36,0.68,4.49
65.7,261.55,730.8,1.42,37.56,66.14,6.81,4.21
72.2,249.88,380.4,0.53,13.37,57.34,2.57,4.36
93.7,84.86,671.3,1.04,37.07,61.73,4.99,6.0
61.6,48.27,403.8,0.16,28.0,82.89,0.79,0.63
73.3,160.6,584.1,0.68,29.55,96.18,3.27,1.84
39.3,287.63,346.8,1.32,34.78,95.59,6.35,4.45
85.6,28.63,842.6,1.65,22.54,53.15,7.93,0.81
72.1,228.81,496.7,0.48,23.73,98.33,2.32,3.07
47.7,180.63,544.0,0.87,27.89,63.02,4.17,4.8
59.5,205.46,223.4,0.15,24.26,56.77,0.74,6.23
86.5,155.9,171.4,1.51,33.93,58.96,7.27,0.06
19.9,198.59,766.3,1.53,11.04,87.43,7.37,5.73
38.6,232.9,613.8,0.23,20.77,55.04,1.12,6.31
82.2,134.4,667.5,1.51,33.69,65.22,7.24,6.21
66.6,124.58,769.6,1.77,10.34,41.56,8.49,5.76
61.2,103.95,554.4,0.69,35.95,90.53,3.32,6.36
53.9,41.8,759.6,1.55,14.08,30.97,7.47,2.8
74.1,134.57,430.0,0.68,35.72,61.68,3.25,1.03
63.1,143.2,794.2,0.26,13.84,75.55,1.24,1.56
57.8,254.1,604.3,0.82,28.87,84.89,3.92,4.6
45.1,242.32,558.4,0.35,17.71,76.08,1.66,2.76
82.6,273.95,191.0,0.48,19.69,65.84,2.29,5.21
47.1,44.17,175.6,0.26,29.31,60.14,1.23,4.38
31.9,108.78,518.1,0.75,13.74,52.69,3.61,0.16
94.1,286.97,635.5,0.88,19.18,53.28,4.23,5.59
24.8,181.55,628.3,1.3,30.32,81.97,6.26,4.08
86.0,13.81,764.5,1.05,31.03,97.78,5.05,4.86
87.6,151.02,287.2,1.82,10.12,52.59,8.74,0.94
74.1,21.45,464.2,0.39,16.8,37.73,1.89,0.71
74.9,46.29,99.3,0.56,11.69,49.54,2.69,2.13
34.1,149.12,747.2,0.43,10.5,52.26,2.07,0.91
50.1,202.23,520.8,1.8,37.1,86.77,8.67,5.83
54.6,143.1,363.9,0.22,19.46,46.55,1.07,0.81
32.1,116.85,579.9,1.88,28.7,41.27,9.06,0.3
78.9,206.52,596.9,0.24,38.93,99.89,1.13,3.28
41.7,71.99,104.7,1.82,11.41,84.33,8.74,2.04
37.3,48.61,686.2,0.63,12.73,75.42,3.04,5.7
88.7,142.22,417.4,0.27,22.35,94.34,1.32,4.04
39.3,20.77,814.2,1.2,11.03,82.16,5.76,3.6
70.0,98.34,839.7,1.18,35.02,58.52,5.69,0.23
28.3,255.17,587.6,0.92,35.23,37.75,4.43,4.2
67.9,286.9,668.7,1.12,29.07,93.7,5.39,5.93
84.6,205.87,749.2,0.5,17.89,76.53,2.41,5.71
41.0,178.85,472.1,0.84,17.97,41.2,4.03,1.5
93.4,291.21,682.3,1.15,12.36,85.02,5.53,3.25
19.3,85.48,452.5,1.56,22.49,53.35,7.49,6.2
92.3,204.4,556.3,1.12,31.99,49.52,5.37,5.21
81.1,260.16,859.9,1.16,39.87,52.03,5.6,3.46
91.4,264.32,772.5,0.61,22.28,47.53,2.94,0.5
32.8,201.74,211.3,0.9,15.8,49.33,4.31,0.52
43.6,266.85,387.8,0.75,34.43,47.8,3.59,6.12
44.9,169.12,787.1,1.17,11.01,34.02,5.61,2.37
24.5,65.51,383.0,1.0,15.88,45.76,4.81,5.97
20.4,171.9,768.6,1.15,30.14,89.77,5.54,1.05
22.6,24.31,798.3,0.36,20.8,47.76,1.73,6.01
86.0,170.13,517.9,1.33,19.01,78.24,6.39,2.11
85.4,277.13,547.2,1.4,23.49,99.7,6.74,2.02
85.2,172.79,403.8,0.8,15.49,84.92,3.86,6.24
31.6,280.83,769.2,0.29,36.32,58.12,1.38,2.79
26.9,158.84,11.5,0.45,28.28,54.64,2.17,0.98
44.1,202.88,39.2,0.33,17.45,85.8,1.57,4.66
